"id";"id_profesor";"id_centro";"curso_escolar_id";"fecha_registro";"D1_LID1";"D9_SO4";"D2_GE1";"D9_SO2";"D2_GE3";"D8_AP4";"D6_APD1";"D5_INT2";"D7_TC1";"D4_EE2";"D8_AP1";"D3_COM2";"D8_AP3";"D2_GE4";"D9_SO1";"D2_GE2";"D9_SO3";"D1_LID2";"D3_COM1";"D8_AP2";"D4_EE1";"D7_TC2";"D5_INT1";"D6_APD2";"P1_EJP1";"P3_ASO4";"P1_EJP3";"P2_AAP1";"P2_AAP3";"P3_ASO1";"P3_ASO3";"P1_EJP2";"P1_EJP4";"P2_AAP2";"P3_ASO2";"P2_AAP4";"A1_CF1";"A7_ASR2";"A2_INT1";"A6_DIS2";"A3_ESF1";"A5_COP2";"A4_COA1";"A1_CF2";"A5_COP1";"A4_COA2";"A6_DIS1";"A2_INT2";"A7_ASR1";"A3_ESF2";"F1_COP1";"F2_RES1";"F4_INT2";"F3_CON2";"F1_COP2";"F2_RES2";"F4_INT1";"F3_CON1";"CRD1";"CRSS1";"CRP1";"CRA1";"CRR1";"CRF1";"CRCC1";"CRD2";"CRP2";"CRA2";"CRF2";"CRCC2";"CRR2";"CRSS2";"D9_SO4X";"D9_SO2X";"D8_AP4X";"D5_INT2X";"D4_EE2X";"D3_COM2X";"D2_GE4X";"D2_GE2X";"D1_LID2X";"D8_AP2X";"D7_TC2X";"D6_APD2X";"P3_ASO4X";"P1_EJP2X";"P1_EJP4X";"P2_AAP2X";"P3_ASO2X";"P2_AAP4X";"A7_ASR2X";"A6_DIS2X";"A5_COP2X";"A1_CF2X";"A4_COA2X";"A2_INT2X";"A3_ESF2X";"F4_INT2X";"F1_COP2X";"F2_RES2X";"F3_CON2X";"SEGACOAL1X";"SEGPCON1X";"SEGACOAL2X";"SEGPCON2X";"SEGACOAL3X";"SEGPCON3X";"D_LID";"D_GE";"D_COM";"D_EE";"D_INT";"D_APD";"D_TC";"D_AP";"D_SO";"P_EJP21";"P_EJP22";"P_AAP21";"P_AAP22";"P_ASO21";"P_ASO22";"A_CF";"A_COP";"A_DIS";"A_ASR";"A_INT";"A_ESF";"A_COA";"F_COP";"F_RES";"F_CON";"F_INT";"P_CMR";"P_CMA";"SEGNoViol";"SEGNoAcoso";"SEGProfesorado";"SEGNoProbCond";"CRD";"CRP";"CRA";"CRF";"CRCC";"CRR";"CRSS";"DIRTot";"DIRComPart";"DIRGestion";"PROF_Ptot";"P_EJP";"P_AAP";"P_ASO";"ALUM_TOT";"ALUMConfianza";"ALUMCooper";"ALUMDis";"ALUMMot";"FAMcol_TOT";"ClimSEG";"EntornoFIS";"SATCENTRO_DIR_PROF";"SATCENTRO_DIR_PROF_AL";"SAT_AL_FAM";"SATTOT";"T_PROF_Ptot";"T_P_EJP";"T_P_AAP";"T_P_ASO";"T_ALUM_TOT";"T_ALUMConfianza";"T_ALUMCooper";"T_ALUMDis";"T_ALUMMot";"T_FAMcol_TOT";"CESTot";"T_CESTot";"T_DIRTot";"T_DIRComPart";"T_DIRGestion";"T_D_AP";"T_P_Ormot_Apr";"T_P_Ormot_Res";"T_SEGNoViol";"T_SEGNoAcoso";"T_SEGProfesorado";"T_SEGNoProbCond";"T_ClimSEG";"T_EntornoFIS";"T_SATTOT";"T_SATCENTRO_DIR_PROF";"T_SAT_AL_FAM";"T_SATCENTRO_DIR_PROF_AL"
444;"20010001";"00000001";2024;"2025-11-20 19:00:24";2;4;3;4;4;1;2;4;4;2;4;2;4;2;3;2;3;2;2;1;4;2;3;5;5;5;4;1;5;4;1;3;2;1;1;4;4;5;2;5;2;2;4;2;4;2;2;4;3;4;1;3;4;4;4;3;3;4;2;2;1;2;2;3;2;2;3;5;2;3;4;2;2;2;5;2;4;4;4;4;4;5;4;1;1;3;4;5;5;2;1;1;4;4;4;2;2;2;2;3;2;-3;-3;-3;-3;-3;-3;6;15;6;8;5;3;8;18;10;8;8;6;7;9;2;8;8;3;4;4;4;8;3;6;6;5;11;17;27;-9;27;-9;5;4;7;5;5;6;4;79.00;23.00;38.00;40.00;16.00;13.00;11.00;39.00;12.00;16.00;3.00;8.00;20.00;36.00;27.00;23.00;30.00;12.00;35.00;42.11;56.65;38.60;35.65;22.29;20.61;53.32;19.82;24.66;27.42;206.00;33.52;43.37;36.64;37.76;80.23;62.44;49.45;160.88;-98.82;149.02;-114.80;27.72;163.96;18.63;21.00;25.05;20.52
445;"20010002";"00000001";2024;"2025-11-20 19:00:24";4;2;3;3;4;3;3;3;4;3;3;2;3;4;5;2;2;2;4;3;3;4;4;2;1;5;1;3;1;2;2;4;4;2;4;4;4;2;3;5;5;3;4;3;3;4;3;4;2;3;2;1;2;4;5;4;2;2;3;3;2;4;2;2;1;3;2;5;3;2;1;2;4;3;3;3;3;4;2;4;4;3;2;4;1;2;2;4;2;2;4;1;3;3;2;2;3;4;1;2;2;-3;-3;-3;-3;-3;-3;8;13;8;6;7;7;6;12;14;3;3;7;3;4;3;7;6;4;6;5;8;6;3;3;4;6;13;12;27;-9;27;-9;5;4;9;5;3;3;5;81.00;29.00;40.00;23.00;6.00;10.00;7.00;42.00;13.00;12.00;4.00;13.00;16.00;36.00;27.00;21.00;30.00;14.00;35.00;6.36;-6.05;21.40;15.29;29.78;28.24;24.44;28.60;54.33;13.65;187.00;22.36;45.69;52.08;42.52;40.89;30.70;60.50;160.88;-98.82;149.02;-114.80;27.72;163.96;18.63;16.50;39.19;20.52
446;"20010003";"00000001";2024;"2025-11-20 19:00:24";4;3;4;3;5;4;3;4;5;4;5;5;4;4;4;4;5;4;3;4;4;4;5;3;4;5;4;4;2;4;2;5;4;2;2;3;5;2;5;2;3;5;5;2;5;3;2;2;5;2;5;2;2;4;5;2;2;5;2;4;2;5;4;5;2;4;2;5;5;4;4;3;3;3;2;2;2;1;2;2;2;2;2;3;1;1;2;4;4;3;4;4;1;4;3;4;4;4;1;4;2;-3;-3;-3;-3;-3;-3;6;13;4;6;7;6;7;13;15;5;6;8;5;8;3;9;6;6;9;9;7;8;6;6;7;6;15;18;27;-9;27;-9;4;4;10;10;6;8;7;77.00;22.00;42.00;35.00;11.00;13.00;11.00;54.00;18.00;14.00;6.00;16.00;25.00;36.00;27.00;31.00;41.00;20.00;51.00;31.60;25.30;38.60;35.65;59.70;66.41;38.88;46.14;72.14;44.63;224.00;44.08;41.05;34.07;47.29;47.44;68.79;71.55;160.88;-98.82;149.02;-114.80;27.72;163.96;49.20;39.00;81.59;43.44
447;"20010004";"00000001";2024;"2025-11-20 19:00:25";1;2;4;3;2;4;1;3;4;3;3;5;3;4;4;4;2;4;1;4;1;4;4;5;5;5;4;1;4;1;3;3;4;4;4;4;5;1;3;5;3;3;4;1;5;5;5;3;5;5;4;5;4;4;4;4;4;5;3;3;1;4;4;4;1;1;2;4;3;4;2;2;4;3;2;3;3;1;2;2;2;2;2;1;1;3;2;2;2;2;5;1;3;5;1;3;1;2;2;2;2;-3;-3;-3;-3;-3;-3;3;10;2;4;7;2;6;10;13;8;6;3;6;3;4;10;8;6;10;6;4;5;6;7;7;6;15;12;27;-9;27;-9;5;3;8;7;5;6;5;57.00;11.00;36.00;30.00;14.00;9.00;7.00;49.00;20.00;13.00;6.00;10.00;26.00;36.00;27.00;23.00;31.00;15.00;38.00;21.08;44.11;15.67;15.29;47.23;81.68;31.66;46.14;36.53;48.07;189.00;23.54;17.86;5.75;33.00;27.77;30.70;71.55;160.88;-98.82;149.02;-114.80;27.72;163.96;24.36;21.00;46.25;22.60
448;"20010005";"00000001";2024;"2025-11-20 19:00:25";5;5;5;5;1;5;5;5;5;1;5;1;2;1;5;1;1;2;1;1;2;3;2;1;5;1;5;2;2;2;5;2;1;1;2;2;5;1;5;4;4;4;4;1;5;4;5;4;4;4;4;2;4;2;4;2;1;3;5;5;4;5;4;5;5;5;5;5;5;4;4;4;1;1;1;1;5;5;5;5;4;5;3;5;5;4;5;5;4;4;5;2;2;5;2;2;2;2;2;4;4;-3;-3;-3;-3;-3;-3;9;16;6;7;3;10;8;13;8;9;10;7;6;6;10;10;7;7;9;7;6;6;6;6;7;3;17;17;27;-9;27;-9;10;9;10;10;9;8;9;80.00;32.00;35.00;48.00;19.00;13.00;16.00;52.00;19.00;13.00;7.00;13.00;22.00;36.00;27.00;45.00;55.00;20.00;65.00;58.94;75.45;38.60;61.09;54.71;74.05;31.66;54.91;54.33;34.30;236.00;51.13;44.53;59.81;30.62;47.44;62.44;82.60;160.88;-98.82;149.02;-114.80;27.72;163.96;75.94;70.49;81.59;72.60
449;"20010006";"00000001";2024;"2025-11-20 19:00:25";2;5;4;4;4;2;2;4;4;2;2;2;2;2;4;2;4;4;3;4;2;4;2;4;4;4;4;4;4;2;4;2;2;4;4;2;4;2;4;2;4;2;4;2;4;2;4;2;4;2;4;4;2;3;2;2;2;4;2;4;2;4;4;4;2;2;2;4;2;2;4;3;1;2;4;2;4;4;4;4;2;2;2;2;2;4;4;2;2;4;4;4;4;4;4;4;4;4;4;4;3;-3;-3;-3;-3;-3;-3;4;16;7;6;4;4;6;10;11;8;8;6;8;4;6;8;8;8;8;8;8;8;8;8;7;6;10;10;27;-9;27;-9;4;4;8;6;4;8;7;68.00;21.00;37.00;40.00;16.00;14.00;10.00;56.00;16.00;16.00;8.00;16.00;29.00;36.00;27.00;27.00;35.00;14.00;41.00;42.11;56.65;44.33;30.56;64.69;51.15;53.32;63.68;72.14;58.40;213.00;37.63;30.61;31.49;35.38;27.77;18.00;43.92;160.88;-98.82;149.02;-114.80;27.72;163.96;30.10;30.00;39.19;30.94
450;"20010007";"00000001";2024;"2025-11-20 19:00:25";5;4;4;3;4;4;3;4;4;3;2;2;2;3;4;3;4;4;4;4;4;4;3;3;5;4;2;3;5;3;1;2;3;3;4;2;4;2;4;4;4;2;4;4;5;2;4;2;5;4;3;3;3;3;4;3;3;3;4;3;3;3;2;4;3;3;2;4;3;3;2;2;2;3;2;2;3;4;3;3;2;2;2;3;2;4;3;3;2;4;4;2;4;2;4;4;2;3;2;3;3;-3;-3;-3;-3;-3;-3;7;14;8;7;5;6;6;8;13;9;5;6;9;5;3;6;9;6;9;8;6;8;5;6;6;6;14;18;27;-9;27;-9;6;5;7;7;6;4;5;74.00;28.00;38.00;37.00;14.00;15.00;8.00;52.00;15.00;17.00;6.00;14.00;23.00;36.00;27.00;27.00;34.00;14.00;41.00;35.80;44.11;50.06;20.38;54.71;43.51;60.54;46.14;60.27;37.75;218.00;40.56;37.57;49.51;37.76;14.66;68.79;66.02;160.88;-98.82;149.02;-114.80;27.72;163.96;30.10;30.00;39.19;28.85
451;"20010008";"00000001";2024;"2025-11-20 19:00:26";4;4;3;3;4;2;3;2;5;3;2;1;4;1;5;1;3;2;4;4;3;2;3;3;4;3;4;4;4;3;2;3;3;2;2;3;5;1;4;2;3;2;2;1;4;2;4;2;4;2;3;2;3;3;4;3;4;4;4;4;3;3;4;4;4;4;3;5;2;4;4;4;2;3;4;4;3;5;5;5;4;2;4;3;3;3;3;4;4;3;5;4;4;5;4;4;4;3;2;3;3;-3;-3;-3;-3;-3;-3;8;17;9;6;7;6;9;12;13;7;7;8;7;7;5;10;8;8;9;8;7;6;5;5;7;7;7;14;27;-9;27;-9;7;6;8;6;8;8;8;87.00;29.00;46.00;41.00;14.00;15.00;12.00;56.00;19.00;14.00;8.00;15.00;24.00;36.00;27.00;38.00;46.00;14.00;52.00;44.22;44.11;50.06;40.74;64.69;74.05;38.88;63.68;66.20;41.19;229.00;47.02;52.64;52.08;56.81;40.89;43.40;27.35;160.88;-98.82;149.02;-114.80;27.72;163.96;51.11;54.75;39.19;53.85
452;"20010009";"00000001";2024;"2025-11-20 19:00:26";4;4;5;1;4;3;3;3;5;3;3;3;2;3;5;3;4;3;4;3;4;4;5;3;5;4;4;3;5;4;3;3;2;3;2;2;4;3;5;4;4;2;4;3;5;2;5;2;4;3;4;4;2;3;3;3;4;3;4;5;4;5;4;4;5;4;4;5;3;4;4;4;2;5;3;3;3;3;3;3;3;3;2;3;2;3;4;3;4;4;3;2;4;3;4;4;3;4;3;3;3;-3;-3;-3;-3;-3;-3;7;15;7;7;8;6;7;11;16;8;8;6;9;8;5;7;9;7;7;9;7;8;7;7;6;8;14;15;27;-9;27;-9;8;8;10;7;9;8;9;84.00;27.00;46.00;44.00;16.00;15.00;13.00;54.00;14.00;17.00;7.00;16.00;28.00;36.00;27.00;42.00;52.00;17.00;59.00;50.53;56.65;50.06;45.83;59.70;35.88;60.54;54.91;72.14;54.96;239.00;52.89;49.17;46.94;56.81;34.33;49.75;66.02;160.88;-98.82;149.02;-114.80;27.72;163.96;64.48;63.75;60.39;66.35
453;"20010010";"00000001";2024;"2025-11-20 19:00:26";5;5;4;1;4;5;5;1;5;1;4;1;3;4;5;3;5;1;5;1;3;1;5;1;4;3;5;5;5;4;3;3;1;1;1;1;5;1;4;1;3;1;5;1;4;2;4;1;1;1;5;5;1;1;1;1;4;5;4;4;3;5;4;5;4;5;1;5;5;5;5;4;1;5;1;5;5;5;2;3;5;5;5;5;3;3;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;-3;-3;-3;-3;-3;-3;10;13;10;8;10;10;10;13;16;7;10;10;10;9;6;10;9;9;6;9;8;9;10;10;10;9;18;16;27;-9;27;-9;5;4;10;10;9;9;8;100.00;38.00;49.00;52.00;17.00;20.00;15.00;60.00;16.00;18.00;9.00;17.00;39.00;36.00;27.00;39.00;49.00;20.00;59.00;67.35;62.92;78.71;56.01;74.66;51.15;67.76;72.46;78.07;92.82;285.00;79.89;67.72;75.25;63.95;47.44;56.10;88.12;160.88;-98.82;149.02;-114.80;27.72;163.96;64.48;57.00;81.59;60.10
