alumno_id;codigo_clase;auton1;condeval1
301010104.0;76PV5LTF;4;3
301010105.0;76PV5LTF;4;3
301010106.0;76PV5LTF;4;3
301010107.0;76PV5LTF;5;3
301010108.0;76PV5LTF;1;5
301010109.0;76PV5LTF;4;3
301010110.0;76PV5LTF;2;3
301010111.0;76PV5LTF;4;4
301010112.0;76PV5LTF;5;3
301010113.0;76PV5LTF;3;2
301010114.0;76PV5LTF;5;1
301010115.0;76PV5LTF;4;5
301010116.0;76PV5LTF;4;3
301010117.0;76PV5LTF;4;1
301010118.0;76PV5LTF;3;3
301010119.0;76PV5LTF;5;1
301010201.0;NHDFZAC7;2;3
301010202.0;NHDFZAC7;4;2
301010203.0;NHDFZAC7;5;1
301010204.0;NHDFZAC7;5;1
301010205.0;NHDFZAC7;5;3
301010206.0;NHDFZAC7;3;1
301010207.0;NHDFZAC7;3;4
301010208.0;NHDFZAC7;5;3
301010209.0;NHDFZAC7;5;3
301010210.0;NHDFZAC7;3;2
301010301.0;LEHPRZPH;4;1
301010302.0;LEHPRZPH;4;1
301010303.0;LEHPRZPH;5;1
301010304.0;LEHPRZPH;5;1
301010305.0;LEHPRZPH;5;4
301010306.0;LEHPRZPH;5;3
301010307.0;LEHPRZPH;5;1
301010308.0;LEHPRZPH;5;1
301010309.0;LEHPRZPH;5;5
301010310.0;LEHPRZPH;4;3
301010311.0;LEHPRZPH;4;1
301010312.0;LEHPRZPH;5;3
301010313.0;LEHPRZPH;5;1
301010314.0;LEHPRZPH;3;4
301010315.0;LEHPRZPH;3;4
301010316.0;LEHPRZPH;5;5
301010317.0;LEHPRZPH;5;1
301010318.0;LEHPRZPH;5;1
301010319.0;LEHPRZPH;4;4
301010320.0;LEHPRZPH;5;5
301010401.0;QNMLWNZD;2;1
301010402.0;QNMLWNZD;5;4
301010403.0;QNMLWNZD;3;4
301010404.0;QNMLWNZD;5;4
301010405.0;QNMLWNZD;5;2
301010406.0;QNMLWNZD;4;4
301010407.0;QNMLWNZD;5;4
301010408.0;QNMLWNZD;4;4
301010409.0;QNMLWNZD;2;4
301010410.0;QNMLWNZD;3;4
301010411.0;QNMLWNZD;3;2
301010412.0;QNMLWNZD;5;5
301010413.0;QNMLWNZD;5;4
301010414.0;QNMLWNZD;4;3
301010415.0;QNMLWNZD;5;4
301010416.0;QNMLWNZD;4;2
301010417.0;QNMLWNZD;5;1
301010418.0;QNMLWNZD;4;4
301010419.0;QNMLWNZD;5;4
301020501.0;2HTVGQ2C;5;1
301020502.0;2HTVGQ2C;5;1
301020503.0;2HTVGQ2C;4;1
301020504.0;2HTVGQ2C;5;2
301020505.0;2HTVGQ2C;5;1
301020506.0;2HTVGQ2C;5;1
301020507.0;2HTVGQ2C;5;3
301020508.0;2HTVGQ2C;4;4
301020509.0;2HTVGQ2C;3;1
301020510.0;2HTVGQ2C;5;3
301020511.0;2HTVGQ2C;5;2
301020512.0;2HTVGQ2C;5;2
301020513.0;2HTVGQ2C;5;2
301020514.0;2HTVGQ2C;5;2
301020515.0;2HTVGQ2C;5;4
301020516.0;2HTVGQ2C;5;3
301020517.0;2HTVGQ2C;4;5
301020518.0;2HTVGQ2C;5;5
301020519.0;2HTVGQ2C;3;5
301010501.0;2WG5WHWT;5;1
301020520.0;2HTVGQ2C;5;5
301020521.0;2HTVGQ2C;5;5
301020522.0;2HTVGQ2C;3;3
301020523.0;2HTVGQ2C;5;1
301010601.0;PZ3YTC8E;4;1
301010602.0;PZ3YTC8E;5;2
301010603.0;PZ3YTC8E;5;1
301010604.0;PZ3YTC8E;5;1
301010605.0;PZ3YTC8E;5;1
301010606.0;PZ3YTC8E;5;1
301010607.0;PZ3YTC8E;5;2
301010608.0;PZ3YTC8E;5;2
301010609.0;PZ3YTC8E;5;1
301010701.0;PQQAQ6ZC;5;1
301010702.0;PQQAQ6ZC;3;1
301010703.0;PQQAQ6ZC;1;2
301010704.0;PQQAQ6ZC;1;4
301010705.0;PQQAQ6ZC;5;1
301010706.0;PQQAQ6ZC;4;5
301010707.0;PQQAQ6ZC;3;3
301010708.0;PQQAQ6ZC;4;3
301010709.0;PQQAQ6ZC;2;1
301010710.0;PQQAQ6ZC;5;1
301010711.0;PQQAQ6ZC;4;3
301010712.0;PQQAQ6ZC;4;5
301010713.0;PQQAQ6ZC;5;1
301010714.0;PQQAQ6ZC;4;2
301010715.0;PQQAQ6ZC;5;3
301010716.0;PQQAQ6ZC;5;1
301010801.0;SFTR3VPP;3;1
301010802.0;SFTR3VPP;5;2
301010803.0;SFTR3VPP;5;2
301010804.0;SFTR3VPP;5;2
301010805.0;SFTR3VPP;5;1
301010806.0;SFTR3VPP;5;1
301010807.0;SFTR3VPP;4;3
301010808.0;SFTR3VPP;4;1
301010809.0;SFTR3VPP;4;1
301010810.0;SFTR3VPP;5;1
301010811.0;SFTR3VPP;4;1
301010812.0;SFTR3VPP;4;2
301010813.0;SFTR3VPP;5;1
301010814.0;SFTR3VPP;4;1
301010815.0;SFTR3VPP;5;2
301010816.0;SFTR3VPP;5;1
301010817.0;SFTR3VPP;5;3
301010818.0;SFTR3VPP;5;1
301010819.0;SFTR3VPP;4;1
301010820.0;SFTR3VPP;5;1
301010821.0;SFTR3VPP;5;1
301010901.0;SE47WHWF;4;3
301010902.0;SE47WHWF;5;1
301010903.0;SE47WHWF;4;5
301010904.0;SE47WHWF;5;1
301010905.0;SE47WHWF;5;1
301010906.0;SE47WHWF;4;2
301010907.0;SE47WHWF;4;1
301010908.0;SE47WHWF;5;1
301010909.0;SE47WHWF;4;3
301010910.0;SE47WHWF;4;2
301010911.0;SE47WHWF;4;3
301010912.0;SE47WHWF;1;3
301010913.0;SE47WHWF;4;3
301010914.0;SE47WHWF;4;3
301010915.0;SE47WHWF;4;3
301010916.0;SE47WHWF;4;2
301010917.0;SE47WHWF;4;1
301010918.0;SE47WHWF;5;1
301010919.0;SE47WHWF;4;3
301010920.0;SE47WHWF;4;5
301010921.0;SE47WHWF;4;1
301010922.0;SE47WHWF;4;1
301010923.0;SE47WHWF;4;2
301010924.0;SE47WHWF;4;1
301010925.0;SE47WHWF;3;1
301010926.0;SE47WHWF;4;1
301010927.0;SE47WHWF;5;2
301010928.0;SE47WHWF;4;2
301010929.0;SE47WHWF;3;4
301011001.0;8NB5CX2P;5;1
301011002.0;8NB5CX2P;4;3
301011003.0;8NB5CX2P;5;5
301011004.0;8NB5CX2P;4;1
301011005.0;8NB5CX2P;5;4
301011006.0;8NB5CX2P;5;5
301011007.0;8NB5CX2P;4;5
301011008.0;8NB5CX2P;5;1
301011009.0;8NB5CX2P;4;5
301011010.0;8NB5CX2P;4;2
301011011.0;8NB5CX2P;5;5
301011012.0;8NB5CX2P;4;4
301011013.0;8NB5CX2P;4;1
301011014.0;8NB5CX2P;5;4
301011015.0;8NB5CX2P;5;4
301011016.0;8NB5CX2P;5;4
301011101.0;GJFWVHZC;5;1
301011102.0;GJFWVHZC;5;1
301011103.0;GJFWVHZC;5;1
301011104.0;GJFWVHZC;5;1
301011105.0;GJFWVHZC;5;1
301011106.0;GJFWVHZC;5;1
301011107.0;GJFWVHZC;5;1
301011108.0;GJFWVHZC;5;1
301011109.0;GJFWVHZC;5;1
301011110.0;GJFWVHZC;5;1
301011111.0;GJFWVHZC;5;1
301011112.0;GJFWVHZC;5;1
301011113.0;GJFWVHZC;5;1
301011114.0;GJFWVHZC;5;1
301011115.0;GJFWVHZC;5;1
301011116.0;GJFWVHZC;5;1
301011201.0;JHDHFDN7;5;3
301011202.0;JHDHFDN7;5;4
301011203.0;JHDHFDN7;5;1
301011204.0;JHDHFDN7;5;1
301011205.0;JHDHFDN7;5;1
301011206.0;JHDHFDN7;5;4
301011207.0;JHDHFDN7;5;1
301011208.0;JHDHFDN7;5;1
301011209.0;JHDHFDN7;4;1
301011210.0;JHDHFDN7;4;1
301011211.0;JHDHFDN7;4;1
301011212.0;JHDHFDN7;4;1
301011213.0;JHDHFDN7;4;1
301011214.0;JHDHFDN7;4;1
301011215.0;JHDHFDN7;5;1
301011216.0;JHDHFDN7;5;1
301011217.0;JHDHFDN7;4;4
301011218.0;JHDHFDN7;4;1
301011219.0;JHDHFDN7;4;3
301011220.0;JHDHFDN7;4;3
301011221.0;JHDHFDN7;5;1
301011222.0;JHDHFDN7;4;3
301011301.0;9A9BTPES;3;3
301011302.0;9A9BTPES;4;5
301011303.0;9A9BTPES;3;2
301011304.0;9A9BTPES;3;1
301011305.0;9A9BTPES;4;4
301011306.0;9A9BTPES;4;4
301011307.0;9A9BTPES;5;3
301011308.0;9A9BTPES;4;1
301011309.0;9A9BTPES;4;1
301011310.0;9A9BTPES;5;1
301011401.0;CBRZMFCB;4;3
301011402.0;CBRZMFCB;3;3
301011403.0;CBRZMFCB;3;3
301011404.0;CBRZMFCB;3;2
301011405.0;CBRZMFCB;3;1
301011406.0;CBRZMFCB;4;5
301011407.0;CBRZMFCB;1;3
301011408.0;CBRZMFCB;3;1
301011409.0;CBRZMFCB;3;2
301011410.0;CBRZMFCB;1;3
301011411.0;CBRZMFCB;1;2
301011412.0;CBRZMFCB;4;2
301011413.0;CBRZMFCB;4;1
301011414.0;CBRZMFCB;4;1
301011415.0;CBRZMFCB;5;3
301011416.0;CBRZMFCB;2;1
301011417.0;CBRZMFCB;4;2
301011418.0;CBRZMFCB;5;3
301011419.0;CBRZMFCB;5;1
301011420.0;CBRZMFCB;4;1
301011421.0;CBRZMFCB;5;3
301011422.0;CBRZMFCB;5;4
301011423.0;CBRZMFCB;4;2
301011424.0;CBRZMFCB;3;1
301011425.0;CBRZMFCB;3;5
301011426.0;CBRZMFCB;5;5
301011427.0;CBRZMFCB;4;1
301011428.0;CBRZMFCB;3;2
301011501.0;JARFY3DR;5;1
301011502.0;JARFY3DR;5;2
301011503.0;JARFY3DR;5;1
301011504.0;JARFY3DR;5;1
301011505.0;JARFY3DR;5;1
301011506.0;JARFY3DR;5;1
301011507.0;JARFY3DR;5;1
301011508.0;JARFY3DR;5;1
301011509.0;JARFY3DR;5;1
301011510.0;JARFY3DR;5;1
301011511.0;JARFY3DR;5;1
301011601.0;XGHEA8A6;5;1
301011602.0;XGHEA8A6;5;1
301011603.0;XGHEA8A6;5;1
301011604.0;XGHEA8A6;5;1
301011605.0;XGHEA8A6;5;1
301011606.0;XGHEA8A6;4;1
301011607.0;XGHEA8A6;5;4
301011608.0;XGHEA8A6;4;1
301011609.0;XGHEA8A6;4;1
301011610.0;XGHEA8A6;5;1
301011611.0;XGHEA8A6;5;1
301011701.0;BDKMTH23;5;4
301011702.0;BDKMTH23;5;4
301011703.0;BDKMTH23;5;4
301011704.0;BDKMTH23;5;4
301011705.0;BDKMTH23;5;1
301011706.0;BDKMTH23;5;2
301011707.0;BDKMTH23;5;1
301011708.0;BDKMTH23;5;2
301011709.0;BDKMTH23;5;4
301011710.0;BDKMTH23;5;4
301011711.0;BDKMTH23;5;2
301011712.0;BDKMTH23;2;4
301011713.0;BDKMTH23;2;1
301011714.0;BDKMTH23;2;2
301011715.0;BDKMTH23;5;4
301011801.0;9K8Z6GPB;5;4
301011802.0;9K8Z6GPB;5;5
301011803.0;9K8Z6GPB;5;3
301011804.0;9K8Z6GPB;5;4
301011805.0;9K8Z6GPB;1;3
301011806.0;9K8Z6GPB;4;5
301011807.0;9K8Z6GPB;4;1
301011808.0;9K8Z6GPB;4;4
301011809.0;9K8Z6GPB;4;1
301011810.0;9K8Z6GPB;4;3
301011811.0;9K8Z6GPB;4;5
301011812.0;9K8Z6GPB;4;4
301011813.0;9K8Z6GPB;4;5
301011814.0;9K8Z6GPB;4;5
301011815.0;9K8Z6GPB;4;4
301011816.0;9K8Z6GPB;3;5
301011817.0;9K8Z6GPB;5;2
301011818.0;9K8Z6GPB;5;2
302010101.0;8AS7NR8W;5;5
302010102.0;8AS7NR8W;5;1
302010103.0;8AS7NR8W;5;1
302010104.0;8AS7NR8W;4;5
302010105.0;8AS7NR8W;4;5
302010106.0;8AS7NR8W;5;4
302010107.0;8AS7NR8W;5;1
302010108.0;8AS7NR8W;5;4
302010109.0;8AS7NR8W;5;1
302010110.0;8AS7NR8W;5;1
302010111.0;8AS7NR8W;5;3
302010112.0;8AS7NR8W;5;1
302010113.0;8AS7NR8W;5;1
302010114.0;8AS7NR8W;5;3
302010115.0;8AS7NR8W;5;4
302010116.0;8AS7NR8W;5;3
302010117.0;8AS7NR8W;5;5
302010118.0;8AS7NR8W;4;2
302010119.0;8AS7NR8W;4;1
302010120.0;8AS7NR8W;5;3
302010121.0;8AS7NR8W;5;5
302010122.0;8AS7NR8W;4;3
302010123.0;8AS7NR8W;4;4
302010124.0;8AS7NR8W;4;3
302010201.0;SF2KCK2K;4;1
302010202.0;SF2KCK2K;5;1
302010203.0;SF2KCK2K;5;1
302010204.0;SF2KCK2K;5;1
302010205.0;SF2KCK2K;5;1
302010206.0;SF2KCK2K;5;1
302010207.0;SF2KCK2K;4;3
302010208.0;SF2KCK2K;4;4
302010209.0;SF2KCK2K;5;1
302010210.0;SF2KCK2K;5;2
302010211.0;SF2KCK2K;5;4
302010212.0;SF2KCK2K;5;4
302010213.0;SF2KCK2K;5;3
302010214.0;SF2KCK2K;3;3
302010301.0;GUXHHBMZ;5;1
302010302.0;GUXHHBMZ;4;2
302010303.0;GUXHHBMZ;5;1
302010304.0;GUXHHBMZ;5;4
302010305.0;GUXHHBMZ;4;3
302010306.0;GUXHHBMZ;4;4
302010307.0;GUXHHBMZ;5;4
302010308.0;GUXHHBMZ;4;5
302010309.0;GUXHHBMZ;5;2
302010310.0;GUXHHBMZ;4;4
302010311.0;GUXHHBMZ;5;5
302010312.0;GUXHHBMZ;5;5
302010313.0;GUXHHBMZ;4;4
