id_profesor;D1_LID1;D9_SO4;D2_GE1;D9_SO2;D2_GE3;D8_AP4;D6_APD1;D5_INT2;D7_TC1;D4_EE2;D8_AP1;D3_COM2;D8_AP3;D2_GE4;D9_SO1;D2_GE2;D9_SO3;D1_LID2;D3_COM1;D8_AP2;D4_EE1;D7_TC2;D5_INT1;D6_APD2;P1_EJP1;P3_ASO4;P1_EJP3;P2_AAP1;P2_AAP3;P3_ASO1;P3_ASO3;P1_EJP2;P1_EJP4;P2_AAP2;P3_ASO2;P2_AAP4;A1_CF1;A7_ASR2;A2_INT1;A6_DIS2;A3_ESF1;A5_COP2;A4_COA1;A1_CF2;A5_COP1;A4_COA2;A6_DIS1;A2_INT2;A7_ASR1;A3_ESF2;F1_COP1;F2_RES1;F4_INT2;F3_CON2;F1_COP2;F2_RES2;F4_INT1;F3_CON1;CRD1;CRSS1;CRP1;CRA1;CRR1;CRF1;CRCC1;CRD2;CRP2;CRA2;CRF2;CRCC2;CRR2;CRSS2
20010001;2;4;3;4;4;1;2;4;4;2;4;2;4;2;3;2;3;2;2;1;4;2;3;5;5;5;4;1;5;4;1;3;2;1;1;4;4;5;2;5;2;2;4;2;4;2;2;4;3;4;1;3;4;4;4;3;3;4;2;2;1;2;2;3;2;2;3;5;2;3;4;2
20010002;4;2;3;3;4;3;3;3;4;3;3;2;3;4;5;2;2;2;4;3;3;4;4;2;1;5;1;3;1;2;2;4;4;2;4;4;4;2;3;5;5;3;4;3;3;4;3;4;2;3;2;1;2;4;5;4;2;2;3;3;2;4;2;2;1;3;2;5;3;2;1;2
20010003;4;3;4;3;5;4;3;4;5;4;5;5;4;4;4;4;5;4;3;4;4;4;5;3;4;5;4;4;2;4;2;5;4;2;2;3;5;2;5;2;3;5;5;2;5;3;2;2;5;2;5;2;2;4;5;2;2;5;2;4;2;5;4;5;2;4;2;5;5;4;4;3
20010004;1;2;4;3;2;4;1;3;4;3;3;5;3;4;4;4;2;4;1;4;1;4;4;5;5;5;4;1;4;1;3;3;4;4;4;4;5;1;3;5;3;3;4;1;5;5;5;3;5;5;4;5;4;4;4;4;4;5;3;3;1;4;4;4;1;1;2;4;3;4;2;2
20010005;5;5;5;5;1;5;5;5;5;1;5;1;2;1;5;1;1;2;1;1;2;3;2;1;5;1;5;2;2;2;5;2;1;1;2;2;5;1;5;4;4;4;4;1;5;4;5;4;4;4;4;2;4;2;4;2;1;3;5;5;4;5;4;5;5;5;5;5;5;4;4;4
20010006;2;5;4;4;4;2;2;4;4;2;2;2;2;2;4;2;4;4;3;4;2;4;2;4;4;4;4;4;4;2;4;2;2;4;4;2;4;2;4;2;4;2;4;2;4;2;4;2;4;2;4;4;2;3;2;2;2;4;2;4;2;4;4;4;2;2;2;4;2;2;4;3
20010007;5;4;4;3;4;4;3;4;4;3;2;2;2;3;4;3;4;4;4;4;4;4;3;3;5;4;2;3;5;3;1;2;3;3;4;2;4;2;4;4;4;2;4;4;5;2;4;2;5;4;3;3;3;3;4;3;3;3;4;3;3;3;2;4;3;3;2;4;3;3;2;2
20010008;4;4;3;3;4;2;3;2;5;3;2;1;4;1;5;1;3;2;4;4;3;2;3;3;4;3;4;4;4;3;2;3;3;2;2;3;5;1;4;2;3;2;2;1;4;2;4;2;4;2;3;2;3;3;4;3;4;4;4;4;3;3;4;4;4;4;3;5;2;4;4;4
20010009;4;4;5;1;4;3;3;3;5;3;3;3;2;3;5;3;4;3;4;3;4;4;5;3;5;4;4;3;5;4;3;3;2;3;2;2;4;3;5;4;4;2;4;3;5;2;5;2;4;3;4;4;2;3;3;3;4;3;4;5;4;5;4;4;5;4;4;5;3;4;4;4
20010010;5;5;4;1;4;5;5;1;5;1;4;1;3;4;5;3;5;1;5;1;3;1;5;1;4;3;5;5;5;4;3;3;1;1;1;1;5;1;4;1;3;1;5;1;4;2;4;1;1;1;5;5;1;1;1;1;4;5;4;4;3;5;4;5;4;5;1;5;5;5;5;4
20010011;3;4;4;5;5;2;3;5;1;3;5;3;4;1;4;2;4;3;2;2;2;3;4;3;5;5;4;5;5;4;2;2;1;4;4;1;5;1;4;2;4;5;2;1;4;4;5;2;5;4;3;4;3;3;3;3;5;3;2;4;4;5;3;3;2;4;3;5;3;4;3;2
20010012;4;5;5;5;5;4;5;3;4;2;3;1;3;2;5;1;3;2;4;3;5;3;5;1;4;2;4;5;3;4;3;3;1;2;1;2;3;3;2;4;2;2;4;2;4;2;2;4;3;4;4;4;2;2;4;4;3;4;4;4;5;4;3;4;5;5;5;5;5;3;3;4
20010013;3;2;4;4;5;4;4;5;5;1;4;1;3;2;5;2;3;1;3;3;4;3;4;2;5;2;3;4;5;2;3;1;2;3;3;2;4;3;2;5;3;2;4;2;5;4;2;3;4;3;2;3;4;4;5;3;3;1;4;4;3;5;2;3;3;5;3;5;3;2;2;4
20010014;4;3;4;3;4;3;3;5;4;4;4;4;3;3;4;4;4;4;2;4;3;4;3;4;5;3;3;3;3;3;2;3;4;3;3;3;3;3;2;3;3;4;1;3;4;4;3;3;3;4;3;3;3;3;4;3;3;3;2;3;3;3;2;3;3;3;3;3;1;2;3;3
20010015;4;2;2;4;2;2;3;2;4;3;4;2;2;3;4;4;4;4;2;4;4;2;4;2;2;5;2;4;2;2;2;4;4;4;4;4;4;2;4;2;2;4;4;2;2;2;4;2;4;2;4;4;2;3;2;2;4;4;3;3;2;4;3;4;2;3;2;4;3;2;2;3
20010016;3;4;4;4;4;4;3;4;4;2;4;4;4;3;5;2;3;2;4;2;4;2;4;2;4;2;4;4;4;4;3;2;4;2;2;2;4;2;4;2;4;2;4;2;5;2;4;2;4;2;4;4;2;2;2;2;4;4;3;4;4;5;2;5;4;4;4;5;4;4;3;4
20010017;5;5;4;5;5;5;4;3;5;1;4;1;3;3;5;1;3;1;4;5;5;1;5;1;5;3;4;5;3;3;5;3;1;3;3;2;4;2;5;3;5;2;4;4;5;2;5;4;5;1;5;3;3;3;2;3;3;4;5;4;3;4;4;5;3;4;4;5;4;4;5;3
20010018;4;5;4;5;4;3;5;2;4;1;4;4;5;2;5;1;4;3;5;1;5;2;4;3;1;3;4;4;4;4;3;2;1;2;3;1;4;1;4;2;5;1;5;1;5;1;5;4;5;2;4;4;5;3;2;1;3;4;5;4;5;5;5;3;4;3;3;4;4;5;4;4
20020001;5;5;4;3;5;4;5;1;5;2;4;1;4;2;4;1;5;2;5;5;5;4;5;1;5;2;5;5;1;4;2;3;1;4;1;2;5;1;4;3;5;1;4;1;5;2;1;1;4;4;4;2;2;1;1;1;4;4;5;5;4;5;4;4;5;5;5;5;4;5;5;5
20020002;3;4;4;4;3;5;4;3;4;4;4;4;4;3;4;3;4;3;3;3;3;4;3;4;5;5;4;1;2;3;1;4;3;3;2;5;5;3;4;5;4;3;4;5;5;1;3;4;4;4;4;4;4;4;3;4;4;4;4;5;2;5;4;4;3;4;5;5;4;4;4;4
20020003;5;5;5;4;4;4;4;2;5;3;3;3;3;5;5;1;3;3;5;3;5;3;5;3;5;5;3;2;3;2;3;4;4;3;3;3;3;3;3;3;4;3;5;3;3;3;5;4;4;4;4;4;4;4;5;3;3;4;3;4;5;5;4;4;4;4;4;4;4;4;4;4
20020004;3;4;4;4;3;4;3;4;5;3;3;4;3;4;3;3;3;4;3;3;3;3;4;3;3;5;2;5;3;2;2;3;5;3;5;3;3;4;3;4;4;3;2;4;4;3;3;4;2;4;2;3;4;3;5;5;3;2;4;4;2;3;3;3;3;3;2;4;5;4;3;4
20020005;4;4;4;4;4;2;2;3;5;2;4;2;3;2;4;2;3;2;3;2;4;1;4;3;4;5;3;4;4;3;4;2;4;4;2;2;5;1;4;2;3;3;5;2;3;2;4;2;5;3;4;4;5;2;5;2;3;3;4;3;3;5;4;4;3;4;4;5;4;4;3;4
20020006;3;5;4;5;4;5;4;4;3;4;3;4;3;2;4;4;3;3;4;4;3;5;3;3;3;2;3;3;4;3;4;3;2;4;5;3;5;3;4;4;2;4;3;3;4;4;4;4;3;5;2;2;5;3;5;2;2;3;4;3;2;4;4;4;4;4;3;4;2;4;4;4
20020007;2;3;3;5;2;1;5;5;3;5;4;5;4;5;5;5;5;3;2;4;5;3;4;1;3;5;4;1;5;2;1;4;4;5;5;3;5;4;3;5;4;4;4;3;5;5;4;2;4;4;5;5;5;5;4;1;5;5;2;5;2;5;5;5;2;2;5;2;4;5;5;5
20020008;5;4;4;3;4;4;5;4;4;2;5;2;4;3;5;2;5;2;5;2;5;3;5;2;5;3;4;3;4;4;4;2;2;3;2;2;3;4;4;4;4;3;4;2;5;2;4;2;3;3;2;4;4;3;5;3;2;3;4;4;4;5;3;5;4;5;5;5;5;4;3;3
20020009;3;3;4;4;4;3;4;3;5;4;3;3;4;3;3;3;4;4;3;4;3;3;4;3;4;3;3;3;2;3;3;3;4;4;3;4;2;4;3;4;2;4;4;4;4;2;2;4;4;4;4;4;3;3;4;4;3;3;4;3;4;4;4;4;3;4;4;3;3;3;3;3
20030001;4;5;5;3;4;3;3;4;5;2;4;3;4;2;5;1;4;3;4;2;4;3;3;1;5;2;4;4;5;5;5;2;2;2;2;1;5;1;5;2;4;1;5;1;5;2;4;1;4;2;4;5;2;3;4;2;4;4;4;4;4;5;5;5;5;5;4;5;4;5;5;5
20030002;3;3;3;4;2;1;2;5;1;2;3;4;3;3;5;4;4;4;1;2;2;2;1;2;5;5;2;3;2;2;1;4;4;3;5;4;4;2;2;5;3;3;2;3;3;4;1;5;5;4;4;4;4;3;4;3;3;4;3;4;3;4;4;3;2;2;2;4;3;3;3;2
20030003;1;2;4;2;4;4;1;5;5;3;5;5;3;2;2;3;5;1;1;4;2;3;1;3;2;5;3;5;3;3;5;3;2;5;2;3;5;4;4;2;4;3;3;2;5;2;4;2;4;5;3;5;3;3;5;3;4;5;3;1;2;5;3;4;1;1;3;3;4;3;2;3
20030004;3;4;2;3;2;3;4;5;3;2;3;5;3;4;3;4;3;3;2;3;3;4;3;3;4;4;2;4;4;3;3;4;4;4;3;4;4;2;3;5;4;4;4;4;4;2;2;2;4;4;4;4;2;3;3;3;4;4;2;2;4;4;2;4;2;2;3;4;4;3;3;3
20030005;2;3;2;4;3;5;2;2;3;4;2;4;2;4;3;3;1;5;1;4;3;3;2;3;3;5;2;2;2;3;2;4;3;3;5;4;3;4;3;1;3;2;4;3;4;2;4;3;4;3;2;3;4;3;5;3;2;3;3;3;2;4;3;3;3;3;3;3;2;3;3;3
20030006;2;3;3;3;3;3;3;3;3;4;3;4;3;4;3;3;3;3;3;3;3;3;3;3;4;3;3;2;2;4;2;3;3;2;3;2;3;2;2;2;3;2;2;4;4;5;4;5;4;5;3;3;3;3;3;2;3;3;3;2;2;5;2;5;4;3;4;2;3;3;3;3
20030007;1;3;2;3;3;1;1;5;1;5;3;5;1;2;4;3;4;5;1;2;1;3;1;5;4;5;1;3;2;2;3;3;1;4;1;3;4;2;2;1;2;1;2;2;2;2;5;4;2;5;2;3;2;2;5;3;2;1;1;2;3;4;4;4;2;1;1;4;3;4;4;2
20030008;2;5;2;3;3;4;2;4;2;3;3;4;2;3;3;2;3;4;3;3;1;3;1;3;4;5;2;4;2;3;1;4;3;3;4;4;5;2;3;2;5;2;5;1;3;3;3;2;4;2;3;3;3;3;5;3;3;3;3;3;2;5;5;3;2;2;4;4;3;3;4;2
20030009;4;3;2;4;3;3;4;3;4;3;3;3;2;1;5;2;4;2;1;5;3;2;1;3;3;4;3;4;4;3;4;2;4;2;3;3;4;2;2;4;2;2;4;3;4;4;4;4;4;4;3;3;3;5;4;3;3;3;3;2;3;3;1;4;4;3;4;2;3;4;1;1
20030010;3;4;5;4;5;4;4;3;5;2;3;1;3;2;4;2;5;4;2;3;4;2;4;1;4;2;4;5;4;4;4;1;1;1;2;2;3;2;4;1;4;1;5;2;4;2;4;2;4;2;4;4;3;3;2;2;2;3;2;4;4;4;5;4;4;4;5;4;4;4;4;3
